"codigo","lat","e/w","lon","n/s","nome sem acento","uf","nome original","altitude","area"
2803,"-09.39.57","W","-35.44.07","S","maceio","AL","Maceió",16.000,512.800
2804,"-17.04.38","W","-40.42.59","S","machacalis","MG","Machacalis",285.000,330.800
2805,"-27.34.01","W","-51.40.04","S","machadinho","RS","Machadinho",757.000,333.500
2806,"-09.26.38","W","-61.58.53","S","machadinho d'oeste","RO","Machadinho d'Oeste",102.000,8556.100
2807,"-21.40.29","W","-45.55.11","S","machado","MG","Machado",820.000,585.300
2808,"-07.40.56","W","-35.31.22","S","machados","PE","Machados",416.000,45.100
2809,"-26.51.20","W","-51.22.41","S","macieira","SC","Macieira",880.000,235.800
2810,"-21.59.02","W","-42.15.10","S","macuco","RJ","Macuco",266.000,133.700
2811,"-09.10.03","W","-39.03.27","S","macurure","BA","Macururé",357.000,2288.200
2812,"-04.51.26","W","-39.34.36","S","madalena","CE","Madalena",299.000,1109.200
2813,"-03.28.58","W","-42.30.16","S","madeiro","PI","Madeiro",30.000,177.200
2814,"-12.44.27","W","-38.37.15","S","madre de deus","BA","Madre de Deus",5.000,11.200
2815,"-21.28.57","W","-44.19.49","S","madre de deus de minas","MG","Madre de Deus de Minas",1018.000,494.900
2816,"-07.15.31","W","-37.25.37","S","mae d'agua","PB","Mãe d'Água",414.000,315.800
2817,"-02.02.47","W","-47.33.02","S","mae do rio","PA","Mãe do Rio",25.000,471.100
2818,"-14.39.48","W","-41.29.30","S","maetinga","BA","Maetinga",600.000,369.700
2819,"-26.06.41","W","-49.48.19","S","mafra","SC","Mafra",793.000,1788.100
2820,"-00.47.38","W","-47.35.55","S","magalhaes barata","PA","Magalhães Barata",50.000,328.000
2821,"-03.23.46","W","-42.12.14","S","magalhaes de almeida","MA","Magalhães de Almeida",36.000,574.600
2822,"-20.38.38","W","-50.13.34","S","magda","SP","Magda",526.000,313.000
2823,"-22.39.10","W","-43.02.26","S","mage","RJ","Magé",5.000,386.600
2824,"-15.37.16","W","-40.15.58","S","maiquinique","BA","Maiquinique",309.000,415.300
2825,"-11.42.41","W","-40.08.56","S","mairi","BA","Mairi",468.000,909.300
2826,"-23.32.45","W","-47.11.00","S","mairinque","SP","Mairinque",850.000,210.200
2827,"-23.19.07","W","-46.35.12","S","mairipora","SP","Mairiporã",750.000,322.200
2828,"-17.17.57","W","-49.29.29","S","mairipotaba","GO","Mairipotaba",658.000,462.400
2829,"-27.25.05","W","-48.57.05","S","major gercino","SC","Major Gercino",80.000,278.500
2830,"-09.31.56","W","-36.59.06","S","major isidoro","AL","Major Isidoro",182.000,455.800
2831,"-06.24.22","W","-38.19.26","S","major sales","RN","Major Sales",306.000,34.000
2832,"-26.22.04","W","-50.19.41","S","major vieira","SC","Major Vieira",786.000,544.500
2833,"-17.50.32","W","-42.04.36","S","malacacheta","MG","Malacacheta",432.000,733.300
2834,"-14.20.10","W","-43.46.25","S","malhada","BA","Malhada",433.000,1972.900
2835,"-14.23.17","W","-41.52.45","S","malhada de pedras","BA","Malhada de Pedras",515.000,481.100
2836,"-10.20.58","W","-36.55.27","S","malhada dos bois","SE","Malhada dos Bois",120.000,59.300
2837,"-10.39.28","W","-37.18.17","S","malhador","SE","Malhador",251.000,102.200
2838,"-25.52.40","W","-50.49.16","S","mallet","PR","Mallet",901.000,766.100
2839,"-06.54.16","W","-37.31.19","S","malta","PB","Malta",257.000,165.000
2840,"-06.50.19","W","-35.07.34","S","mamanguape","PB","Mamanguape",35.000,337.700
2841,"-14.29.16","W","-46.06.47","S","mambai","GO","Mambaí",709.000,862.700
2842,"-24.19.10","W","-52.31.48","S","mambore","PR","Mamborê",762.000,738.600
2843,"-15.03.01","W","-42.56.58","S","mamonas","MG","Mamonas",681.000,291.300
2844,"-29.12.41","W","-49.56.05","S","mampituba","RS","Mampituba",37.000,156.800
2845,"-03.17.59","W","-60.37.14","S","manacapuru","AM","Manacapuru",60.000,7367.900
2846,"-07.42.22","W","-38.09.16","S","manaira","PB","Manaíra",757.000,419.600
2847,"-03.25.41","W","-60.27.34","S","manaquiri","AM","Manaquiri",48.000,3985.100
2848,"-08.57.50","W","-37.37.42","S","manari","PE","Manari",570.000,550.600
2849,"-03.06.07","W","-60.01.30","S","manaus","AM","Manaus",92.000,11458.000
2850,"-07.36.51","W","-72.53.45","S","mancio lima","AC","Mâncio Lima",195.000,4692.200
2851,"-23.20.50","W","-52.05.43","S","mandaguacu","PR","Mandaguaçu",580.000,294.000
2852,"-23.32.51","W","-51.40.15","S","mandaguari","PR","Mandaguari",741.000,336.000
2853,"-25.46.44","W","-49.19.34","S","mandirituba","PR","Mandirituba",925.000,401.600
2854,"-23.00.12","W","-49.19.19","S","manduri","SP","Manduri",710.000,229.400
2855,"-26.08.40","W","-53.18.39","S","manfrinopolis","PR","Manfrinópolis",650.000,215.900
2856,"-14.45.21","W","-43.55.56","S","manga","MG","Manga",440.000,1956.400
2857,"-22.57.35","W","-44.02.26","S","mangaratiba","RJ","Mangaratiba",18.000,360.700
2858,"-25.56.28","W","-52.10.32","S","mangueirinha","PR","Mangueirinha",921.000,1027.000
2859,"-20.15.29","W","-42.02.01","S","manhuacu","MG","Manhuaçu",635.000,629.100
2860,"-20.21.28","W","-41.57.29","S","manhumirim","MG","Manhumirim",611.000,184.100
2861,"-05.48.33","W","-61.18.01","S","manicore","AM","Manicoré",45.000,48491.000
2862,"-08.00.46","W","-43.52.18","S","manoel emidio","PI","Manoel Emídio",227.000,1714.000
2863,"-24.30.59","W","-51.40.04","S","manoel ribas","PR","Manoel Ribas",880.000,561.700
2864,"-08.50.20","W","-69.15.35","S","manoel urbano","AC","Manoel Urbano",162.000,9477.200
2865,"-29.35.21","W","-55.28.58","S","manoel viana","RS","Manoel Viana",113.000,1402.400
2866,"-14.08.43","W","-40.14.33","S","manoel vitorino","BA","Manoel Vitorino",292.000,2408.900
2867,"-10.42.59","W","-44.02.04","S","mansidao","BA","Mansidão",519.000,3155.500
2868,"-18.46.54","W","-40.58.49","S","mantena","MG","Mantena",212.000,684.500
2869,"-18.51.45","W","-41.07.22","S","mantenopolis","ES","Mantenópolis",430.000,320.700
2870,"-29.40.30","W","-50.12.26","S","maquine","RS","Maquiné",12.000,625.200
2871,"-21.52.02","W","-43.00.35","S","mar de espanha","MG","Mar de Espanha",478.000,373.100
2872,"-09.26.51","W","-36.23.17","S","mar vermelho","AL","Mar Vermelho",542.000,91.900
2873,"-14.00.59","W","-49.10.38","S","mara rosa","GO","Mara Rosa",530.000,1710.300
2874,"-01.51.22","W","-65.34.52","S","maraa","AM","Maraã",50.000,16986.000
2875,"-05.22.07","W","-49.07.04","S","maraba","PA","Marabá",84.000,15158.000
2876,"-22.06.29","W","-51.57.45","S","maraba paulista","SP","Marabá Paulista",401.000,919.500
2877,"-02.02.34","W","-45.57.33","S","maracacume","MA","Maracaçumé",0.000,448.300
2878,"-22.36.38","W","-50.40.02","S","maracai","SP","Maracaí",435.000,534.300
2879,"-28.50.48","W","-49.27.10","S","maracaja","SC","Maracajá",30.000,70.600
2880,"-21.36.52","W","-55.10.06","S","maracaju","MS","Maracaju",384.000,5312.900
2881,"-00.35.42","W","-47.34.55","S","maracana","PA","Maracanã",45.000,777.300
2882,"-03.52.36","W","-38.37.32","S","maracanau","CE","Maracanaú",40.000,98.600
2883,"-13.26.28","W","-40.25.51","S","maracas","BA","Maracás",964.000,2444.300
2884,"-09.00.44","W","-35.13.21","S","maragogi","AL","Maragogi",5.000,335.000
2885,"-12.46.40","W","-38.55.10","S","maragogipe","BA","Maragogipe",39.000,437.800
2886,"-08.46.57","W","-35.48.32","S","maraial","PE","Maraial",0.000,197.000
2887,"-04.35.58","W","-45.34.38","S","maraja do sena","MA","Marajá do Sena",0.000,832.700
2888,"-03.53.27","W","-38.41.08","S","maranguape","CE","Maranguape",80.000,654.800
2889,"-02.18.35","W","-45.50.31","S","maranhaozinho","MA","Maranhãozinho",0.000,952.700
2890,"-00.43.03","W","-47.41.59","S","marapanim","PA","Marapanim",40.000,799.200
2891,"-21.15.33","W","-49.07.44","S","marapoama","SP","Marapoama",467.000,113.600
2892,"-29.32.56","W","-51.33.14","S","marata","RS","Maratá",30.000,86.300
2893,"-21.02.36","W","-40.49.28","S","marataizes","ES","Marataizes",19.000,135.300
2894,"-28.26.57","W","-52.12.00","S","marau","RS","Marau",571.000,611.600
